image_filename,has_detection,person_detected,object_detected,vehicle_detected,animal_detected,food_detected,face_count,gray_histogram,gray_median,hue_histogram,hue_median,saturation_histogram,saturation_median,value_histogram,value_median,edges
https_i.ytimg.comvi--uXQQ0h-yQdefault.jpg,True,True,False,False,False,False,0,[0.56368464 0.21678922 0.09207516 0.03737745 0.09007353],37.0,[0.26691176 0.08345588 0.39693627 0.22022059 0.03247549],75.0,[0.87046569 0.10588235 0.01948529 0.00171569 0.00245098],13.0,[0.51605392 0.10747549 0.02647059 0.03688725 0.31311275],46.0,0.11299019607843137
https_i.ytimg.comvi-0CMnp02rNYdefault.jpg,True,True,True,False,False,False,0,[0.40555556 0.12136438 0.19681373 0.14215686 0.13410948],94.0,[0.57487745 0.03345588 0.19375    0.14632353 0.05159314],20.0,[0.5060049  0.16580882 0.10637255 0.08860294 0.13321078],49.0,[0.11348039 0.12941176 0.1942402  0.29375    0.26911765],163.0,0.2610294117647059
https_i.ytimg.comvi-0NYY8cqdiQdefault.jpg,True,True,True,False,False,False,0,[0.43378268 0.11102941 0.15535131 0.12287582 0.17696078],84.0,[0.62095588 0.02291667 0.21213235 0.09656863 0.04742647],17.0,[0.53235294 0.16678922 0.09522059 0.08014706 0.1254902 ],46.0,[0.13504902 0.09522059 0.11838235 0.24595588 0.40539216],193.0,0.22377450980392158
https_i.ytimg.comvi-1Hm41N0dUsdefault.jpg,True,True,True,False,False,False,0,[0.47855392 0.13018791 0.12593954 0.14505719 0.12026144],61.0,[0.75759804 0.0254902  0.00955882 0.0060049  0.20134804],9.0,[0.36776961 0.20686275 0.21568627 0.09485294 0.11482843],85.0,[0.2932598  0.16629902 0.15379902 0.14068627 0.24595588],112.0,0.16875
https_i.ytimg.comvi-1yT-K3c6YIdefault.jpg,True,True,False,False,False,False,1,[0.28815359 0.20959967 0.15089869 0.18247549 0.16887255],102.0,[0.43982843 0.02377451 0.10306373 0.10085784 0.33247549],96.0,[0.30772059 0.4127451  0.1877451  0.05870098 0.03308824],77.0,[0.10968137 0.14448529 0.09252451 0.18480392 0.4685049 ],197.0,0.2682598039215686
https_i.ytimg.comvi-2RVw2_QyxQdefault.jpg,True,True,False,False,False,False,0,[0.25416667 0.23594771 0.22863562 0.16997549 0.11127451],102.0,[0.29473039 0.01482843 0.48468137 0.10661765 0.09914216],100.0,[0.42610294 0.1504902  0.08394608 0.32426471 0.01519608],67.0,[0.0317402  0.15625    0.39693627 0.09644608 0.31862745],129.0,0.1821078431372549
https_i.ytimg.comvi-2aVkGcI7ZAdefault.jpg,True,True,False,False,False,False,2,[0.37128268 0.19648693 0.11446078 0.16168301 0.1560866 ],87.0,[0.70318627 0.00294118 0.02928922 0.01458333 0.25      ],9.0,[0.20306373 0.24227941 0.13884804 0.10833333 0.30747549],118.0,[0.20637255 0.31973039 0.17794118 0.13517157 0.16078431],98.0,0.153921568627451
https_i.ytimg.comvi-2b4qSoMnKEdefault.jpg,True,True,False,False,False,False,1,[0.42994281 0.19910131 0.20767974 0.12406046 0.03921569],68.0,[0.39264706 0.02169118 0.1685049  0.21764706 0.1995098 ],98.0,[0.29791667 0.35073529 0.20968137 0.05906863 0.08259804],79.0,[0.58713235 0.12696078 0.12622549 0.12463235 0.03504902],41.0,0.11727941176470588
https_i.ytimg.comvi-2wRFv-mScQdefault.jpg,True,True,False,False,False,False,1,[0.24893791 0.22626634 0.25477941 0.16094771 0.10906863],105.0,[0.3127451  0.0192402  0.19754902 0.2435049  0.22696078],107.0,[0.2567402  0.22279412 0.15943627 0.15980392 0.20122549],109.0,[0.16789216 0.38051471 0.20306373 0.12254902 0.12598039],94.0,0.24375
https_i.ytimg.comvi-35jibKqbEodefault.jpg,False,False,False,False,False,False,0,[0.28210784 0.30808824 0.24677288 0.11380719 0.04922386],98.0,[0.31678922 0.00220588 0.52610294 0.1129902  0.04191176],98.0,[0.18946078 0.26433824 0.38921569 0.10919118 0.04779412],108.0,[0.33958333 0.20943627 0.15943627 0.19166667 0.09987745],89.0,0.18553921568627452
